Order_date,Region,State,Product_SKU,Sales,Predicted_values
2015-01-06 00:00:00,Central,Texas,CD-24,,188.70736928718776
2015-01-07 00:00:00,Central,Texas,CD-24,,180.19717006601564
2014-12-25 00:00:00,Central,Washington,BV-23,180,268.4273659303081
2014-12-26 00:00:00,Central,Washington,BV-23,155,272.4340840115046
2014-12-27 00:00:00,Central,Washington,BV-23,187,209.62127823716096
2014-12-28 00:00:00,Central,Washington,BV-23,201,182.79052582657278
2014-12-29 00:00:00,Central,Washington,BV-23,251,241.66784309053827
2014-12-30 00:00:00,Central,Washington,BV-23,271,264.16814396811657
2014-12-31 00:00:00,Central,Washington,BV-23,285,252.23579213073808
2015-01-01 00:00:00,Central,Washington,BV-23,,268.4273659303081
2015-01-02 00:00:00,Central,Washington,BV-23,,272.4340840115046
2015-01-03 00:00:00,Central,Washington,BV-23,,209.62127823716096
2015-01-04 00:00:00,Central,Washington,BV-23,,182.79052582657278
2015-01-05 00:00:00,Central,Washington,BV-23,,241.66784309053827
2015-01-06 00:00:00,Central,Washington,BV-23,,264.16814396811657
2015-01-07 00:00:00,Central,Washington,BV-23,,252.23579213073808
2014-12-25 00:00:00,Central,Washington,CD-24,169,253.65349588164824
2014-12-26 00:00:00,Central,Washington,CD-24,163,200.38301571987483
2014-12-27 00:00:00,Central,Washington,CD-24,153,186.2121159853025
2014-12-28 00:00:00,Central,Washington,CD-24,223,251.24657324644198
2014-12-29 00:00:00,Central,Washington,CD-24,248,258.5238650913591
2014-12-30 00:00:00,Central,Washington,CD-24,228,257.94905222404026
2014-12-31 00:00:00,Central,Washington,CD-24,229,263.0700924408931
2015-01-01 00:00:00,Central,Washington,CD-24,,253.65349588164824
2015-01-02 00:00:00,Central,Washington,CD-24,,200.38301571987483
2015-01-03 00:00:00,Central,Washington,CD-24,,186.2121159853025
2015-01-04 00:00:00,Central,Washington,CD-24,,251.24657324644198
2015-01-05 00:00:00,Central,Washington,CD-24,,258.5238650913591
2015-01-06 00:00:00,Central,Washington,CD-24,,257.94905222404026
2015-01-07 00:00:00,Central,Washington,CD-24,,263.0700924408931
2014-12-25 00:00:00,East,California,BV-23,146,249.0463570172841
2014-12-26 00:00:00,East,California,BV-23,167,221.8770432313541
2014-12-27 00:00:00,East,California,BV-23,251,245.7531068614138
2014-12-28 00:00:00,East,California,BV-23,303,258.1027949459274
2014-12-29 00:00:00,East,California,BV-23,197,176.59485358813737
2014-12-30 00:00:00,East,California,BV-23,167,199.64760467922952
2014-12-31 00:00:00,East,California,BV-23,194,249.0463570172841
2015-01-01 00:00:00,East,California,BV-23,,249.0463570172841
2015-01-02 00:00:00,East,California,BV-23,,221.8770432313541
2015-01-03 00:00:00,East,California,BV-23,,245.7531068614138
2015-01-04 00:00:00,East,California,BV-23,,258.1027949459274
2015-01-05 00:00:00,East,California,BV-23,,176.59485358813737
2015-01-06 00:00:00,East,California,BV-23,,199.64760467922952
2015-01-07 00:00:00,East,California,BV-23,,249.0463570172841
2014-12-25 00:00:00,East,California,CD-24,154,246.78912774647947
2014-12-26 00:00:00,East,California,CD-24,188,248.28878281742132
2014-12-27 00:00:00,East,California,CD-24,281,251.16628020138089
2014-12-28 00:00:00,East,California,CD-24,223,177.626798690086
2014-12-29 00:00:00,East,California,CD-24,173,168.5922057794908
2014-12-30 00:00:00,East,California,CD-24,239,227.91730829802566
2014-12-31 00:00:00,East,California,CD-24,243,246.94954232216716
2015-01-01 00:00:00,East,California,CD-24,,246.78912774647947
2015-01-02 00:00:00,East,California,CD-24,,248.28878281742132
2015-01-03 00:00:00,East,California,CD-24,,251.16628020138089
2015-01-04 00:00:00,East,California,CD-24,,177.626798690086
2015-01-05 00:00:00,East,California,CD-24,,168.5922057794908
2015-01-06 00:00:00,East,California,CD-24,,227.91730829802566
2015-01-07 00:00:00,East,California,CD-24,,246.94954232216716
2014-12-24 00:00:00,East,New York,BV-23,149,235.74852182573858
2014-12-25 00:00:00,East,New York,BV-23,155,241.92295244927635
2014-12-26 00:00:00,East,New York,BV-23,168,167.48854324264715
2014-12-27 00:00:00,East,New York,BV-23,172,164.14414010822875
2014-12-28 00:00:00,East,New York,BV-23,230,224.58655132011864
2014-12-29 00:00:00,East,New York,BV-23,234,237.22044146921505
2014-12-30 00:00:00,East,New York,BV-23,247,235.8863857037771
2014-12-31 00:00:00,East,New York,BV-23,,235.74852182573858
2015-01-01 00:00:00,East,New York,BV-23,,241.92295244927635
2015-01-02 00:00:00,East,New York,BV-23,,167.48854324264715
2015-01-03 00:00:00,East,New York,BV-23,,164.14414010822875
2015-01-04 00:00:00,East,New York,BV-23,,224.58655132011864
2015-01-05 00:00:00,East,New York,BV-23,,237.22044146921505
2015-01-06 00:00:00,East,New York,BV-23,,235.8863857037771
2014-12-24 00:00:00,East,New York,CD-24,184,247.941240167342
2014-12-25 00:00:00,East,New York,CD-24,173,177.60317830406288
2014-12-26 00:00:00,East,New York,CD-24,148,175.72945526913352
2014-12-27 00:00:00,East,New York,CD-24,166,231.99204284545968
2014-12-28 00:00:00,East,New York,CD-24,228,239.56041017691044
